Department,Education,Age,Experience_Years,Salary,Performance_Score,Projects_Completed,Promoted
Engineering,Bachelor,29,6.5,95800,82.4,10,1
Sales,Bachelor,34,11.0,93200,68.0,15,0
Marketing,Master,41,18.5,119200,89.5,24,1
Engineering,PhD,38,15.0,123000,91.0,20,1
HR,Bachelor,25,3.0,61600,74.5,5,0
Sales,Master,45,22.0,128400,77.2,28,0
Engineering,Master,32,9.0,103800,85.0,13,1
Marketing,Bachelor,28,5.5,77600,71.0,8,0
HR,Master,36,13.0,93600,79.0,17,0
Engineering,Bachelor,26,4.0,87800,88.2,7,1
Sales,Bachelor,30,8.0,83600,,11,0
Marketing,PhD,48,25.0,140000,94.0,32,1
Engineering,Bachelor,24,2.0,81400,65.0,4,0
HR,Bachelor,31,9.0,80800,73.0,12,0
Sales,Master,39,16.0,109200,84.1,21,1
Engineering,Master,44,21.0,142200,90.5,27,1
Marketing,Bachelor,27,4.5,74400,69.5,7,0
Sales,Bachelor,33,10.0,90000,78.0,14,0
HR,PhD,50,27.0,138400,86.0,34,1
Engineering,Bachelor,30,7.5,99000,80.0,11,1
Sales,Bachelor,34,11.0,93200,68.0,15,0
